Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
35,Yes,Travel_Frequently,900,Research & Development,8,3,Technical Degree,1,2206,1,Female,55,2,1,Research Scientist,2,Single,2900,10000,2,Y,Yes,13,3,2,80,0,6,2,2,4,3,1,3
41,No,Travel_Rarely,1050,Research & Development,12,4,Medical,1,2207,3,Male,80,3,3,Healthcare Representative,4,Married,8500,17000,3,Y,No,16,3,4,80,1,13,3,3,9,7,2,7
30,No,Travel_Rarely,750,Sales,9,3,Marketing,1,2208,2,Female,85,3,2,Sales Executive,3,Divorced,5800,14000,1,Y,No,14,3,3,80,1,9,2,3,7,5,1,6
38,No,Travel_Frequently,1150,Research & Development,5,4,Life Sciences,1,2209,4,Male,75,3,3,Research Director,4,Married,12500,22000,5,Y,No,15,3,4,80,0,20,3,3,15,10,5,8
27,Yes,Travel_Rarely,650,Research & Development,7,2,Medical,1,2210,3,Female,60,2,1,Laboratory Technician,3,Single,3200,11000,1,Y,Yes,12,3,3,80,0,5,2,3,4,3,0,3
46,No,Travel_Rarely,1250,Sales,10,4,Life Sciences,1,2211,4,Male,90,3,3,Sales Executive,4,Married,9500,20000,3,Y,No,16,3,4,80,1,15,3,3,10,8,2,7
34,No,Travel_Frequently,850,Research & Development,12,3,Technical Degree,1,2212,2,Female,55,2,1,Research Scientist,2,Single,2900,10000,2,Y,Yes,13,3,2,80,0,6,2,2,4,3,1,3
42,No,Travel_Rarely,1100,Research & Development,9,4,Medical,1,2213,3,Male,80,3,3,Healthcare Representative,4,Married,8500,17000,3,Y,No,16,3,4,80,1,13,3,3,9,7,2,7
29,No,Travel_Rarely,700,Research & Development,5,2,Life Sciences,1,2214,2,Female,60,2,1,Laboratory Technician,3,Single,3200,11000,1,Y,Yes,12,3,3,80,0,5,2,3,4,3,0,3
55,No,Travel_Rarely,1350,Sales,7,4,Life Sciences,1,2215,4,Male,90,3,3,Sales Executive,4,Married,9500,20000,3,Y,No,15,3,4,80,1,15,3,3,10,8,2,7
31,Yes,Travel_Frequently,900,Research & Development,10,3,Technical Degree,1,2216,1,Female,55,2,1,Research Scientist,2,Single,2900,10000,2,Y,Yes,13,3,2,80,0,6,2,2,4,3,1,3
48,No,Travel_Rarely,1200,Research & Development,12,4,Medical,1,2217,3,Male,80,3,3,Healthcare Representative,4,Married,8500,17000,3,Y,No,16,3,4,80,1,13,3,3,9,7,2,7
36,No,Travel_Frequently,950,Sales,9,3,Marketing,1,2218,2,Female,85,3,2,Sales Executive,3,Divorced,5800,14000,1,Y,No,14,3,3,80,1,9,2,3,7,5,1,6
43,No,Travel_Rarely,1100,Research & Development,5,4,Life Sciences,1,2219,4,Male,75,3,3,Research Director,4,Married,12500,22000,5,Y,No,15,3,4,80,0,20,3,3,15,10,5,8
29,No,Travel_Rarely,800,Research & Development,7,2,Medical,1,2220,2,Female,60,2,1,Laboratory Technician,3,Single,3200,11000,1,Y,Yes,12,3,3,80,0,5,2,3,4,3,0,3
52,No,Travel_Rarely,1300,Sales,10,4,Life Sciences,1,2221,4,Male,90,3,3,Sales Executive,4,Married,9500,20000,3,Y,No,16,3,4,80,1,15,3,3,10,8,2,7
35,Yes,Travel_Frequently,900,Research & Development,8,3,Technical Degree,1,2222,1,Female,55,2,1,Research Scientist,2,Single,2900,10000,2,Y,Yes,13,3,2,80,0,6,2,2,4,3,1,3
41,No,Travel_Rarely,1050,Research & Development,12,4,Medical,1,2223,3,Male,80,3,3,Healthcare Representative,4,Married,8500,17000,3,Y,No,16,3,4,80,1,13,3,3,9,7,2,7
30,No,Travel_Rarely,750,Sales,9,3,Marketing,1,2224,2,Female,85,3,2,Sales Executive,3,Divorced,5800,14000,1,Y,No,14,3,3,80,1,9,2,3,7,5,1,6
38,No,Travel_Frequently,1150,Research & Development,5,4,Life Sciences,1,2225,4,Male,75,3,3,Research Director,4,Married,12500,22000,5,Y,No,15,3,4,80,0,20,3,3,15,10,5,8
27,Yes,Travel_Rarely,650,Research & Development,7,2,Medical,1,2226,3,Female,60,2,1,Laboratory Technician,3,Single,3200,11000,1,Y,Yes,12,3,3,80,0,5,2,3,4,3,0,3
46,No,Travel_Rarely,1250,Sales,10,4,Life Sciences,1,2227,4,Male,90,3,3,Sales Executive,4,Married,9500,20000,3,Y,No,16,3,4,80,1,15,3,3,10,8,2,7
34,No,Travel_Frequently,850,Research & Development,12,3,Technical Degree,1,2228,2,Female,55,2,1,Research Scientist,2,Single,2900,10000,2,Y,Yes,13,3,2,80,0,6,2,2,4,3,1,3
42,No,Travel_Rarely,1100,Research & Development,9,4,Medical,1,2229,3,Male,80,3,3,Healthcare Representative,4,Married,8500,17000,3,Y,No,16,3,4,80,1,13,3,3,9,7,2,7
29,No,Travel_Rarely,700,Research & Development,5,2,Life Sciences,1,2230,2,Female,60,2,1,Laboratory Technician,3,Single,3200,11000,1,Y,Yes,12,3,3,80,0,5,2,3,4,3,0,3
55,No,Travel_Rarely,1350,Sales,7,4,Life Sciences,1,2231,4,Male,90,3,3,Sales Executive,4,Married,9500,20000,3,Y,No,15,3,4,80,1,15,3,3,10,8,2,7
31,Yes,Travel_Frequently,900,Research & Development,10,3,Technical Degree,1,2232,1,Female,55,2,1,Research Scientist,2,Single,2900,10000,2,Y,Yes,13,3,2,80,0,6,2,2,4,3,1,3
48,No,Travel_Rarely,1200,Research & Development,12,4,Medical,1,2233,3,Male,80,3,3,Healthcare Representative,4,Married,8500,17000,3,Y,No,16,3,4,80,1,13,3,3,9,7,2,7
36,No,Travel_Frequently,950,Sales,9,3,Marketing,1,2234,2,Female,85,3,2,Sales Executive,3,Divorced,5800,14000,1,Y,No,14,3,3,80,1,9,2,3,7,5,1,6
43,No,Travel_Rarely,1100,Research & Development,5,4,Life Sciences,1,2235,4,Male,75,3,3,Research Director,4,Married,12500,22000,5,Y,No,15,3,4,80,0,20,3,3,15,10,5,8
29,No,Travel_Rarely,800,Research & Development,7,2,Medical,1,2236,2,Female,60,2,1,Laboratory Technician,3,Single,3200,11000,1,Y,Yes,12,3,3,80,0,5,2,3,4,3,0,3
52,No,Travel_Rarely,1300,Sales,10,4,Life Sciences,1,2237,4,Male,90,3,3,Sales Executive,4,Married,9500,20000,3,Y,No,16,3,4,80,1,15,3,3,10,8,2,7
35,Yes,Travel_Frequently,900,Research & Development,8,3,Technical Degree,1,2238,1,Female,55,2,1,Research Scientist,2,Single,2900,10000,2,Y,Yes,13,3,2,80,0,6,2,2,4,3,1,3
41,No,Travel_Rarely,1050,Research & Development,12,4,Medical,1,2239,3,Male,80,3,3,Healthcare Representative,4,Married,8500,17000,3,Y,No,16,3,4,80,1,13,3,3,9,7,2,7
30,No,Travel_Rarely,750,Sales,9,3,Marketing,1,2240,2,Female,85,3,2,Sales Executive,3,Divorced,5800,14000,1,Y,No,14,3,3,80,1,9,2,3,7,5,1,6
38,No,Travel_Frequently,1150,Research & Development,5,4,Life Sciences,1,2241,4,Male,75,3,3,Research Director,4,Married,12500,22000,5,Y,No,15,3,4,80,0,20,3,3,15,10,5,8
27,Yes,Travel_Rarely,650,Research & Development,7,2,Medical,1,2242,3,Female,60,2,1,Laboratory Technician,3,Single,3200,11000,1,Y,Yes,12,3,3,80,0,5,2,3,4,3,0,3
46,No,Travel_Rarely,1250,Sales,10,4,Life Sciences,1,2243,4,Male,90,3,3,Sales Executive,4,Married,9500,20000,3,Y,No,16,3,4,80,1,15,3,3,10,8,2,7
34,No,Travel_Frequently,850,Research & Development,12,3,Technical Degree,1,2244,2,Female,55,2,1,Research Scientist,2,Single,2900,10000,2,Y,Yes,13,3,2,80,0,6,2,2,4,3,1,3
42,No,Travel_Rarely,1100,Research & Development,9,4,Medical,1,2245,3,Male,80,3,3,Healthcare Representative,4,Married,8500,17000,3,Y,No,16,3,4,80,1,13,3,3,9,7,2,7
29,No,Travel_Rarely,700,Research & Development,5,2,Life Sciences,1,2246,2,Female,60,2,1,Laboratory Technician,3,Single,3200,11000,1,Y,Yes,12,3,3,80,0,5,2,3,4,3,0,3
55,No,Travel_Rarely,1350,Sales,7,4,Life Sciences,1,2247,4,Male,90,3,3,Sales Executive,4,Married,9500,20000,3,Y,No,15,3,4,80,1,15,3,3,10,8,2,7
31,Yes,Travel_Frequently,900,Research & Development,10,3,Technical Degree,1,2248,1,Female,55,2,1,Research Scientist,2,Single,2900,10000,2,Y,Yes,13,3,2,80,0,6,2,2,4,3,1,3
48,No,Travel_Rarely,1200,Research & Development,12,4,Medical,1,2249,3,Male,80,3,3,Healthcare Representative,4,Married,8500,17000,3,Y,No,16,3,4,80,1,13,3,3,9,7,2,7
36,No,Travel_Frequently,950,Sales,9,3,Marketing,1,2250,2,Female,85,3,2,Sales Executive,3,Divorced,5800,14000,1,Y,No,14,3,3,80,1,9,2,3,7,5,1,6
43,No,Travel_Rarely,1100,Research & Development,5,4,Life Sciences,1,2251,4,Male,75,3,3,Research Director,4,Married,12500,22000,5,Y,No,15,3,4,80,0,20,3,3,15,10,5,8
29,No,Travel_Rarely,800,Research & Development,7,2,Medical,1,2252,2,Female,60,2,1,Laboratory Technician,3,Single,3200,11000,1,Y,Yes,12,3,3,80,0,5,2,3,4,3,0,3
52,No,Travel_Rarely,1300,Sales,10,4,Life Sciences,1,2253,4,Male,90,3,3,Sales Executive,4,Married,9500,20000,3,Y,No,16,3,4,80,1,15,3,3,10,8,2,7
35,Yes,Travel_Frequently,900,Research & Development,8,3,Technical Degree,1,2254,1,Female,55,2,1,Research Scientist,2,Single,2900,10000,2,Y,Yes,13,3,2,80,0,6,2,2,4,3,1,3
41,No,Travel_Rarely,1050,Research & Development,12,4,Medical,1,2255,3,Male,80,3,3,Healthcare Representative,4,Married,8500,17000,3,Y,No,16,3,4,80,1,13,3,3,9,7,2,7
30,No,Travel_Rarely,750,Sales,9,3,Marketing,1,2256,2,Female,85,3,2,Sales Executive,3,Divorced,5800,14000,1,Y,No,14,3,3,80,1,9,2,3,7,5,1,6
38,No,Travel_Frequently,1150,Research & Development,5,4,Life Sciences,1,2257,4,Male,75,3,3,Research Director,4,Married,12500,22000,5,Y,No,15,3,4,80,0,20,3,3,15,10,5,8
27,Yes,Travel_Rarely,650,Research & Development,7,2,Medical,1,2258,3,Female,60,2,1,Laboratory Technician,3,Single,3200,11000,1,Y,Yes,12,3,3,80,0,5,2,3,4,3,0,3
46,No,Travel_Rarely,1250,Sales,10,4,Life Sciences,1,2259,4,Male,90,3,3,Sales Executive,4,Married,9500,20000,3,Y,No,16,3,4,80,1,15,3,3,10,8,2,7
34,No,Travel_Frequently,850,Research & Development,12,3,Technical Degree,1,2260,2,Female,55,2,1,Research Scientist,2,Single,2900,10000,2,Y,Yes,13,3,2,80,0,6,2,2,4,3,1,3
42,No,Travel_Rarely,1100,Research & Development,9,4,Medical,1,2261,3,Male,80,3,3,Healthcare Representative,4,Married,8500,17000,3,Y,No,16,3,4,80,1,13,3,3,9,7,2,7
29,No,Travel_Rarely,700,Research & Development,5,2,Life Sciences,1,2262,2,Female,60,2,1,Laboratory Technician,3,Single,3200,11000,1,Y,Yes,12,3,3,80,0,5,2,3,4,3,0,3
55,No,Travel_Rarely,1350,Sales,7,4,Life Sciences,1,2263,4,Male,90,3,3,Sales Executive,4,Married,9500,20000,3,Y,No,15,3,4,80,1,15,3,3,10,8,2,7
31,Yes,Travel_Frequently,900,Research & Development,10,3,Technical Degree,1,2264,1,Female,55,2,1,Research Scientist,2,Single,2900,10000,2,Y,Yes,13,3,2,80,0,6,2,2,4,3,1,3
48,No,Travel_Rarely,1200,Research & Development,12,4,Medical,1,2265,3,Male,80,3,3,Healthcare Representative,4,Married,8500,17000,3,Y,No,16,3,4,80,1,13,3,3,9,7,2,7
36,No,Travel_Frequently,950,Sales,9,3,Marketing,1,2266,2,Female,85,3,2,Sales Executive,3,Divorced,5800,14000,1,Y,No,14,3,3,80,1,9,2,3,7,5,1,6
43,No,Travel_Rarely,1100,Research & Development,5,4,Life Sciences,1,2267,4,Male,75,3,3,Research Director,4,Married,12500,22000,5,Y,No,15,3,4,80,0,20,3,3,15,10,5,8
29,No,Travel_Rarely,800,Research & Development,7,2,Medical,1,2268,2,Female,60,2,1,Laboratory Technician,3,Single,3200,11000,1,Y,Yes,12,3,3,80,0,5,2,3,4,3,0,3
52,No,Travel_Rarely,1300,Sales,10,4,Life Sciences,1,2269,4,Male,90,3,3,Sales Executive,4,Married,9500,20000,3,Y,No,16,3,4,80,1,15,3,3,10,8,2,7
35,Yes,Travel_Frequently,900,Research & Development,8,3,Technical Degree,1,2270,1,Female,55,2,1,Research Scientist,2,Single,2900,10000,2,Y,Yes,13,3,2,80,0,6,2,2,4,3,1,3
41,No,Travel_Rarely,1050,Research & Development,12,4,Medical,1,2271,3,Male,80,3,3,Healthcare Representative,4,Married,8500,17000,3,Y,No,16,3,4,80,1,13,3,3,9,7,2,7
30,No,Travel_Rarely,750,Sales,9,3,Marketing,1,2272,2,Female,85,3,2,Sales Executive,3,Divorced,5800,14000,1,Y,No,14,3,3,80,1,9,2,3,7,5,1,6
38,No,Travel_Frequently,1150,Research & Development,5,4,Life Sciences,1,2273,4,Male,75,3,3,Research Director,4,Married,12500,22000,5,Y,No,15,3,4,80,0,20,3,3,15,10,5,8
27,Yes,Travel_Rarely,650,Research & Development,7,2,Medical,1,2274,3,Female,60,2,1,Laboratory Technician,3,Single,3200,11000,1,Y,Yes,12,3,3,80,0,5,2,3,4,3,0,3
46,No,Travel_Rarely,1250,Sales,10,4,Life Sciences,1,2275,4,Male,90,3,3,Sales Executive,4,Married,9500,20000,3,Y,No,16,3,4,80,1,15,3,3,10,8,2,7
34,No,Travel_Frequently,850,Research & Development,12,3,Technical Degree,1,2276,2,Female,55,2,1,Research Scientist,2,Single,2900,10000,2,Y,Yes,13,3,2,80,0,6,2,2,4,3,1,3
42,No,Travel_Rarely,1100,Research & Development,9,4,Medical,1,2277,3,Male,80,3,3,Healthcare Representative,4,Married,8500,17000,3,Y,No,16,3,4,80,1,13,3,3,9,7,2,7
29,No,Travel_Rarely,700,Research & Development,5,2,Life Sciences,1,2278,2,Female,60,2,1,Laboratory Technician,3,Single,3200,11000,1,Y,Yes,12,3,3,80,0,5,2,3,4,3,0,3
55,No,Travel_Rarely,1350,Sales,7,4,Life Sciences,1,2279,4,Male,90,3,3,Sales Executive,4,Married,9500,20000,3,Y,No,15,3,4,80,1,15,3
